timeStamp,elapsed,label,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1403592537656,46468,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592538656,58642,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592539656,55286,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592540656,58587,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592541656,4242,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592542656,14443,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592543656,1928,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592544656,38355,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592545656,779,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592546656,12075,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592547656,11252,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592548656,12091,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592549656,15934,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592550656,45142,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592551656,8977,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592552656,8942,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592553656,8088,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592554656,14169,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592555656,3477,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592556656,29911,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592557656,11789,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592558656,14732,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592559656,26659,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592560656,23714,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592561656,2676,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592562656,3130,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592563656,4297,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592564656,2751,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592565656,11038,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592566656,40102,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592567656,14337,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592568656,26158,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592569656,50820,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592570656,20924,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592571656,14389,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592572656,4621,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592573656,5883,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592574656,4217,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592575656,15147,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592576656,9346,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592577656,16974,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592578656,7397,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592579656,3557,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592580656,2286,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592581656,11817,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592582656,16066,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592583656,3875,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592584656,4284,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592585656,6113,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592586656,11029,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592587656,5882,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592588656,770,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592589656,2372,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592590656,4586,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592591656,3556,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592592656,3893,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592593656,2676,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592594656,4998,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592595656,18757,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592596656,13586,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592597656,9439,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592598656,5442,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592599656,2717,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592600656,6286,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592601656,1158,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592602656,3465,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592603656,5503,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592604656,3520,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592605656,6186,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592606656,10022,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592607656,3192,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592608656,1138,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592609656,4702,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592610656,5106,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592611656,5062,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592612656,9498,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592613656,4306,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592614656,2694,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592615656,5003,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592616656,5977,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592617656,10857,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592618656,4248,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592619656,6211,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592620656,3558,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592621656,3506,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592622656,15324,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592623656,5929,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592624656,9764,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592625656,3117,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592626656,1540,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592627656,11643,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592628656,2261,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592629656,3944,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592630656,2359,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592631656,10069,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592632656,4634,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592633656,2681,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592634656,3105,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592635656,6333,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592636656,6583,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592637656,4248,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592638656,3167,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592639656,2353,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592640656,5458,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592641656,3505,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592642656,4265,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592643656,2326,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592644656,5024,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592645656,7119,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592646656,12375,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592647656,4288,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592648656,8592,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592649656,3513,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592650656,5768,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592651656,1595,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592652656,1938,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592653656,8114,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592654656,7408,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592655656,3104,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592656656,3142,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592657656,8447,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592658656,8555,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592659656,2329,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592660656,1181,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592661656,5724,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592662656,6661,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592663656,2701,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592664656,2435,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592665656,6959,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592666656,6958,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592667656,3515,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592668656,2677,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592669656,7331,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592670656,2789,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592671656,3116,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592672656,2755,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592673656,9651,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592674656,6186,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592675656,2362,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592676656,2677,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592677656,1195,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592678656,1163,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592679656,798,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592680656,751,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592681656,1117,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592682656,785,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592683656,1953,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592684656,1176,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592685656,392,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592686656,1186,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592687656,1134,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592688656,1961,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592689656,1937,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592690656,773,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592691656,0,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592692656,1167,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592693656,776,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592694656,788,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592695656,1570,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592696656,788,dennis-nb CPU CPU usage,,,true,0,0,0,0
1403592697656,1475,dennis-nb CPU CPU usage,,,true,0,0,0,0
