timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1403083243935,3243,/zssperformance/collaboration.zul,200,OK,setUp Thread Group 1-1,text,true,6060,1,1,3243
1403083247180,515,/zssperformance/collaboration.zul,200,OK,setUp Thread Group 1-1,text,true,5971,1,1,514
1403083247696,409,/zssperformance/collaboration.zul,200,OK,setUp Thread Group 1-1,text,true,5980,1,1,409
1403083248106,437,/zssperformance/collaboration.zul,200,OK,setUp Thread Group 1-1,text,true,5989,1,1,437
1403083248544,2675,/zssperformance/collaboration.zul,200,OK,setUp Thread Group 1-1,text,true,5996,1,1,2675
1403083251609,361,/zssperformance/collaboration.zul,200,OK,Thread Group 1-1,text,true,6142,5,5,361
1403083251983,287,/zssperformance/collaboration.zul,200,OK,Thread Group 1-5,text,true,6152,8,8,287
1403083252301,251,/zssperformance/collaboration.zul,200,OK,Thread Group 1-8,text,true,6161,11,11,250
1403083252667,504,/zssperformance/collaboration.zul,200,OK,Thread Group 1-10,text,true,6176,17,17,504
1403083252720,645,/zssperformance/collaboration.zul,200,OK,Thread Group 1-4,text,true,6197,18,18,644
1403083252896,671,/zssperformance/collaboration.zul,200,OK,Thread Group 1-7,text,true,6207,20,20,670
1403083253079,561,/zssperformance/collaboration.zul,200,OK,Thread Group 1-12,text,true,6205,21,21,561
1403083253218,594,/zssperformance/collaboration.zul,200,OK,Thread Group 1-3,text,true,6226,23,23,594
1403083253564,285,/zssperformance/zkau,200,OK,Thread Group 1-5,text,true,1546,23,23,284
1403083253822,46,/zssperformance/zkau,200,OK,Thread Group 1-3,text,true,1427,23,23,46
1403083253441,465,/zssperformance/collaboration.zul,200,OK,Thread Group 1-19,text,true,6225,24,24,465
1403083253404,588,/zssperformance/collaboration.zul,200,OK,Thread Group 1-2,text,true,6225,24,24,588
1403083253918,79,/zssperformance/zkau,200,OK,Thread Group 1-1,text,true,1559,24,24,79
1403083253869,140,/zssperformance/zkau,200,OK,Thread Group 1-10,text,true,1514,25,25,140
1403083254147,142,/zssperformance/zkau,200,OK,Thread Group 1-5,text,true,393,27,27,142
1403083254124,232,/zssperformance/zkau,200,OK,Thread Group 1-7,text,true,1517,28,28,232
1403083254149,225,/zssperformance/zkau,200,OK,Thread Group 1-8,text,true,1573,28,28,224
1403083253760,1060,/zssperformance/collaboration.zul,200,OK,Thread Group 1-6,text,true,6306,32,32,1060
1403083254949,253,/zssperformance/zkau,200,OK,Thread Group 1-1,text,true,473,36,36,253
1403083253940,1269,/zssperformance/collaboration.zul,200,OK,Thread Group 1-9,text,true,6316,36,36,1268
1403083254077,1265,/zssperformance/collaboration.zul,200,OK,Thread Group 1-24,text,true,6311,37,37,1265
1403083255137,307,/zssperformance/zkau,200,OK,Thread Group 1-3,text,true,498,38,38,307
1403083255433,277,/zssperformance/zkau,200,OK,Thread Group 1-10,text,true,498,41,41,277
