timeStamp,elapsed,label,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1403599174062,221000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599175062,277000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599176062,363000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599177062,430000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599178062,430000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599179078,491000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599180078,634000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599181078,920000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599182078,1037000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599183078,1139000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599184078,1308000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599185093,1435000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599186093,253000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599187093,597000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599188093,1152000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599189093,1507000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599190093,351000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599191093,624000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599192093,912000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599193093,1244000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599194093,725000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599195093,200000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599196093,145000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599197093,1332000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599198093,653000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599199093,1397000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599200093,806000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599201093,1806000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599202093,1020000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599203093,144000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599204093,1192000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599205093,518000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599206093,1636000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599207093,963000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599208093,1374000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599209093,156000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599210093,733000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599211093,1158000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599212093,1353000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599213093,1553000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599214093,1824000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599215093,371000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599216093,667000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599217093,1069000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599218093,1445000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599219093,1777000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599220093,202000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599221093,472000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599222093,1122000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599223093,81000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599224093,988000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599225093,265000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599226093,1445000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599227093,821000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599228093,1722000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599229093,1238000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599230093,258000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599231093,1119000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599232093,432000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599233093,1792000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599234093,415000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599235093,1146000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599236093,1899000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599237093,803000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599238093,1458000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599239093,140000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599240093,479000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599241093,1117000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599242093,1812000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599243093,261000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599244093,788000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599245093,1074000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599246109,1321000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599247109,1596000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599248109,1934000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599249109,836000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599250109,1687000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599251109,380000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599252109,995000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599253109,121000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599254109,1103000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599255109,1747000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599256109,763000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599257109,1936000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599258109,1304000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599259109,1497000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599260109,801000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599261109,1820000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599262109,946000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599263109,1645000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599264109,770000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599265140,1413000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599266140,2031000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599267140,773000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599268140,1359000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599269140,1920000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599270140,1089000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1403599271140,1294000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
