timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1403252968546,24089,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252968546,5438,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252968546,251000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252969546,39543,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252969546,24000,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252969546,307000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252970546,34759,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252970546,24088,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252970546,369000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252971546,24084,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252971546,55970,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252971546,608000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252972562,934000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252972562,67307,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252972562,24158,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252973578,1477000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252973578,25264,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252973578,68560,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252974609,26422,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252974609,932000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252974609,99635,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252975828,557000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252975828,26678,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252975828,79107,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252976828,218000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252976828,26751,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252976828,99527,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252977828,172000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252977828,26809,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252977828,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252978828,119000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252978828,99600,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252978828,27493,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252979828,260000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252979828,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252979828,28882,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252980828,733000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252980828,29033,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252980828,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252981828,1066000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252981828,99624,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252981828,29138,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252982859,1912000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252982859,29211,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252982859,98386,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252983859,317000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252983859,29235,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252983859,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252984859,889000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252984859,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252984859,29301,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252985953,1764000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252985953,29463,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252985953,99649,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252987000,592000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252987000,29583,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252987000,99635,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252988265,1955000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252988265,29697,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252988265,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252989421,929000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252989421,29739,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252989421,99659,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252990421,1561000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252990421,29904,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252990421,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252991437,216000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252991437,30065,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252991437,99631,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252992812,1851000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252992812,30204,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252992812,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252995312,284000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252995312,30399,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252995312,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252996312,665000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252996312,30547,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252996312,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252997312,1331000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252997312,30621,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252997312,99230,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252998312,1958000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252998312,30691,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252998312,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403252999312,1630000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403252999312,30767,dennis-nb Memory usedperc,,,,,true,0,0,0,0
1403252999312,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403253000562,2124000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253000562,100000,dennis-nb CPU CPU usage,,,,,true,0,0,0,0
1403253000562,30835,dennis-nb Memory usedperc,,,,,true,0,0,0,0
