timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1403253463359,301000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253464359,379000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253465359,458000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253466359,724000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253467484,1117000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253468578,208000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253469640,1149000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253470687,603000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253471765,399000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253472765,519000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253474218,1953000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253475375,762000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253476375,500000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253477375,1165000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253478375,1731000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253480875,1647000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253481875,1820000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253482875,1951000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253483875,1368000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253484875,242000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253485875,262000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253486875,1160000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253487875,313000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253488875,1962000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253489875,320000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253490968,1723000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253491968,398000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253492968,1083000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253494015,2130000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253495500,2084000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253496859,1565000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253497875,1532000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253498875,2252000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253501453,517000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253502453,1586000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253503453,2262000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253504453,1109000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253505453,608000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253506453,2169000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253507453,1632000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253508453,1599000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253509453,672000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253510453,1578000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253511718,716000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253512718,1498000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253513718,2068000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253514734,1928000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253517234,2770000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253518234,2232000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253519234,856000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253520234,2217000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253521296,898000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253523796,977000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253524796,1785000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253525796,1227000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253526796,1871000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253527796,2414000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253528796,1039000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253529796,1827000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253530796,1099000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253531796,2600000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253532796,1120000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253533796,1149000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253534796,1930000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253535796,2584000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253536796,3150000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253538156,2799000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253540656,1306000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253541656,1723000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253542656,1341000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
1403253543656,2088000,dennis-nb JMX unit=mb:memory-usage,,,,,true,0,0,0,0
