timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1403079672015,79,/zssperformance/massiveData.zul,200,OK,Thread Group 1-1,text,true,2729,4,4,79
1403079672598,87,/zssperformance/massiveData.zul,200,OK,Thread Group 1-6,text,true,2728,7,7,87
1403079672655,74,/zssperformance/massiveData.zul,200,OK,Thread Group 1-2,text,true,2728,7,7,74
1403079672734,70,/zssperformance/massiveData.zul,200,OK,Thread Group 1-3,text,true,2730,7,7,69
1403079672843,43,/zssperformance/zkau,200,OK,Thread Group 1-2,text,true,909,8,8,43
1403079672984,65,/zssperformance/massiveData.zul,200,OK,Thread Group 1-4,text,true,2729,8,8,65
1403079672995,63,/zssperformance/zkau,200,OK,Thread Group 1-3,text,true,908,9,9,62
1403079673254,20,/zssperformance/zkau,200,OK,Thread Group 1-4,text,true,909,10,10,20
1403079673212,66,/zssperformance/massiveData.zul,200,OK,Thread Group 1-8,text,true,2727,10,10,65
1403079673577,15,/zssperformance/zkau,200,OK,Thread Group 1-1,text,true,909,11,11,15
1403079673853,61,/zssperformance/massiveData.zul,200,OK,Thread Group 1-11,text,true,2727,13,13,61
1403079674009,22,/zssperformance/zkau,200,OK,Thread Group 1-3,text,true,913,13,13,22
1403079674034,54,/zssperformance/massiveData.zul,200,OK,Thread Group 1-7,text,true,2730,14,14,54
1403079674046,72,/zssperformance/zkau,200,OK,Thread Group 1-8,text,true,909,14,14,72
1403079674055,94,/zssperformance/massiveData.zul,200,OK,Thread Group 1-5,text,true,2728,14,14,93
1403079674192,54,/zssperformance/massiveData.zul,200,OK,Thread Group 1-12,text,true,2728,14,14,54
1403079674329,18,/zssperformance/zkau,200,OK,Thread Group 1-6,text,true,909,15,15,18
1403079674474,13,/zssperformance/zkau,200,OK,Thread Group 1-2,text,true,911,15,15,13
1403079674563,10,/zssperformance/zkau,200,OK,Thread Group 1-3,text,true,351,16,16,10
1403079674558,63,/zssperformance/massiveData.zul,200,OK,Thread Group 1-14,text,true,2728,16,16,63
1403079674657,57,/zssperformance/massiveData.zul,200,OK,Thread Group 1-9,text,true,2730,17,17,57
1403079674658,186,/zssperformance/zkau,200,OK,Thread Group 1-3,text,true,2267,17,17,186
1403079674945,18,/zssperformance/zkau,200,OK,Thread Group 1-6,text,true,911,18,18,18
1403079674958,59,/zssperformance/massiveData.zul,200,OK,Thread Group 1-13,text,true,2728,18,18,58
1403079675006,14,/zssperformance/zkau,200,OK,Thread Group 1-14,text,true,909,18,18,14
1403079675087,14,/zssperformance/zkau,200,OK,Thread Group 1-4,text,true,912,18,18,14
1403079675170,15,/zssperformance/zkau,200,OK,Thread Group 1-1,text,true,912,19,19,15
1403079675202,13,/zssperformance/zkau,200,OK,Thread Group 1-8,text,true,912,19,19,13
1403079675288,16,/zssperformance/zkau,200,OK,Thread Group 1-12,text,true,909,19,19,16
1403079675302,13,/zssperformance/zkau,200,OK,Thread Group 1-5,text,true,909,19,19,13
1403079675278,45,/zssperformance/massiveData.zul,200,OK,Thread Group 1-10,text,true,2728,20,20,45
1403079675428,13,/zssperformance/zkau,200,OK,Thread Group 1-11,text,true,909,20,20,13
1403079675507,5,/zssperformance/zkau,200,OK,Thread Group 1-2,text,true,351,20,20,5
1403079675523,7,/zssperformance/zkau,200,OK,Thread Group 1-6,text,true,351,21,21,7
1403079675530,24,/zssperformance/zkau,200,OK,Thread Group 1-12,text,true,912,21,21,24
1403079675533,51,/zssperformance/massiveData.zul,200,OK,Thread Group 1-16,text,true,2729,21,21,50
1403079675548,109,/zssperformance/zkau,200,OK,Thread Group 1-2,text,true,2267,21,21,108
1403079675627,34,/zssperformance/zkau,200,OK,Thread Group 1-7,text,true,909,21,21,34
1403079675604,91,/zssperformance/massiveData.zul,200,OK,Thread Group 1-15,text,true,2727,21,21,91
1403079675618,79,/zssperformance/massiveData.zul,200,OK,Thread Group 1-17,text,true,2729,21,21,79
1403079675628,80,/zssperformance/massiveData.zul,200,OK,Thread Group 1-19,text,true,2729,21,21,80
1403079675674,66,/zssperformance/zkau,200,OK,Thread Group 1-3,text,true,1095,22,22,66
