timeStamp,elapsed,label,threadName,dataType,success,grpThreads,allThreads,Latency
1402987881343,22697,dennis-nb Memory usedperc,,,true,0,0,0
1402987882343,22786,dennis-nb Memory usedperc,,,true,0,0,0
1402987883343,22786,dennis-nb Memory usedperc,,,true,0,0,0
1402987884343,22809,dennis-nb Memory usedperc,,,true,0,0,0
1402987885343,22819,dennis-nb Memory usedperc,,,true,0,0,0
1402987886343,22868,dennis-nb Memory usedperc,,,true,0,0,0
1402987887343,23312,dennis-nb Memory usedperc,,,true,0,0,0
1402987888343,23780,dennis-nb Memory usedperc,,,true,0,0,0
1402987889375,23777,dennis-nb Memory usedperc,,,true,0,0,0
1402987890375,24753,dennis-nb Memory usedperc,,,true,0,0,0
1402987891375,24807,dennis-nb Memory usedperc,,,true,0,0,0
1402987892375,24885,dennis-nb Memory usedperc,,,true,0,0,0
1402987893375,24911,dennis-nb Memory usedperc,,,true,0,0,0
1402987894375,24910,dennis-nb Memory usedperc,,,true,0,0,0
1402987895375,24989,dennis-nb Memory usedperc,,,true,0,0,0
1402987896375,25074,dennis-nb Memory usedperc,,,true,0,0,0
1402987897375,25126,dennis-nb Memory usedperc,,,true,0,0,0
1402987898375,25302,dennis-nb Memory usedperc,,,true,0,0,0
1402987899375,25482,dennis-nb Memory usedperc,,,true,0,0,0
1402987900375,25487,dennis-nb Memory usedperc,,,true,0,0,0
1402987901375,25542,dennis-nb Memory usedperc,,,true,0,0,0
1402987902375,25710,dennis-nb Memory usedperc,,,true,0,0,0
1402987903375,25627,dennis-nb Memory usedperc,,,true,0,0,0
1402987904375,25551,dennis-nb Memory usedperc,,,true,0,0,0
1402987905375,25759,dennis-nb Memory usedperc,,,true,0,0,0
1402987906375,25792,dennis-nb Memory usedperc,,,true,0,0,0
1402987907375,25818,dennis-nb Memory usedperc,,,true,0,0,0
1402987908390,25911,dennis-nb Memory usedperc,,,true,0,0,0
1402987909390,25679,dennis-nb Memory usedperc,,,true,0,0,0
1402987910390,25731,dennis-nb Memory usedperc,,,true,0,0,0
1402987911390,25757,dennis-nb Memory usedperc,,,true,0,0,0
1402987912390,25783,dennis-nb Memory usedperc,,,true,0,0,0
1402987913390,25787,dennis-nb Memory usedperc,,,true,0,0,0
1402987914390,25848,dennis-nb Memory usedperc,,,true,0,0,0
1402987915390,25864,dennis-nb Memory usedperc,,,true,0,0,0
1402987916390,25890,dennis-nb Memory usedperc,,,true,0,0,0
1402987917390,25947,dennis-nb Memory usedperc,,,true,0,0,0
1402987918390,25759,dennis-nb Memory usedperc,,,true,0,0,0
1402987919390,25746,dennis-nb Memory usedperc,,,true,0,0,0
1402987920390,25785,dennis-nb Memory usedperc,,,true,0,0,0
1402987921390,25841,dennis-nb Memory usedperc,,,true,0,0,0
1402987922390,25876,dennis-nb Memory usedperc,,,true,0,0,0
1402987923390,25889,dennis-nb Memory usedperc,,,true,0,0,0
1402987924390,26434,dennis-nb Memory usedperc,,,true,0,0,0
1402987925390,26458,dennis-nb Memory usedperc,,,true,0,0,0
1402987926390,26510,dennis-nb Memory usedperc,,,true,0,0,0
1402987927390,26595,dennis-nb Memory usedperc,,,true,0,0,0
1402987928390,26605,dennis-nb Memory usedperc,,,true,0,0,0
1402987929390,27311,dennis-nb Memory usedperc,,,true,0,0,0
1402987930390,27683,dennis-nb Memory usedperc,,,true,0,0,0
1402987931390,27697,dennis-nb Memory usedperc,,,true,0,0,0
1402987932390,27738,dennis-nb Memory usedperc,,,true,0,0,0
1402987933390,27818,dennis-nb Memory usedperc,,,true,0,0,0
1402987934390,27796,dennis-nb Memory usedperc,,,true,0,0,0
1402987935390,27822,dennis-nb Memory usedperc,,,true,0,0,0
1402987936390,27849,dennis-nb Memory usedperc,,,true,0,0,0
1402987937406,27900,dennis-nb Memory usedperc,,,true,0,0,0
1402987938406,27966,dennis-nb Memory usedperc,,,true,0,0,0
1402987939406,27992,dennis-nb Memory usedperc,,,true,0,0,0
1402987940406,28018,dennis-nb Memory usedperc,,,true,0,0,0
1402987941406,28044,dennis-nb Memory usedperc,,,true,0,0,0
1402987942406,28096,dennis-nb Memory usedperc,,,true,0,0,0
1402987943406,27869,dennis-nb Memory usedperc,,,true,0,0,0
1402987944406,27906,dennis-nb Memory usedperc,,,true,0,0,0
1402987945406,27984,dennis-nb Memory usedperc,,,true,0,0,0
1402987946406,28010,dennis-nb Memory usedperc,,,true,0,0,0
1402987947421,28036,dennis-nb Memory usedperc,,,true,0,0,0
1402987948421,28062,dennis-nb Memory usedperc,,,true,0,0,0
1402987949421,28086,dennis-nb Memory usedperc,,,true,0,0,0
1402987950421,28112,dennis-nb Memory usedperc,,,true,0,0,0
1402987951421,28141,dennis-nb Memory usedperc,,,true,0,0,0
1402987952421,28037,dennis-nb Memory usedperc,,,true,0,0,0
1402987953421,28059,dennis-nb Memory usedperc,,,true,0,0,0
1402987954421,28103,dennis-nb Memory usedperc,,,true,0,0,0
1402987955421,28168,dennis-nb Memory usedperc,,,true,0,0,0
1402987956421,28235,dennis-nb Memory usedperc,,,true,0,0,0
1402987957421,28260,dennis-nb Memory usedperc,,,true,0,0,0
