timeStamp,elapsed,label,threadName,dataType,success,grpThreads,allThreads,Latency
1402303630265,23971,Dennis-NB Memory usedperc,,,true,0,0,0
1402303631265,24076,Dennis-NB Memory usedperc,,,true,0,0,0
1402303632375,24047,Dennis-NB Memory usedperc,,,true,0,0,0
1402303633375,24047,Dennis-NB Memory usedperc,,,true,0,0,0
1402303634375,24047,Dennis-NB Memory usedperc,,,true,0,0,0
1402303635375,24047,Dennis-NB Memory usedperc,,,true,0,0,0
1402303636375,24022,Dennis-NB Memory usedperc,,,true,0,0,0
1402303637375,24022,Dennis-NB Memory usedperc,,,true,0,0,0
1402303638375,24022,Dennis-NB Memory usedperc,,,true,0,0,0
1402303639390,24022,Dennis-NB Memory usedperc,,,true,0,0,0
1402303640406,24022,Dennis-NB Memory usedperc,,,true,0,0,0
1402303641406,24022,Dennis-NB Memory usedperc,,,true,0,0,0
1402303642421,24022,Dennis-NB Memory usedperc,,,true,0,0,0
1402303643437,24022,Dennis-NB Memory usedperc,,,true,0,0,0
1402303644453,24022,Dennis-NB Memory usedperc,,,true,0,0,0
1402303645468,24048,Dennis-NB Memory usedperc,,,true,0,0,0
1402303646484,24048,Dennis-NB Memory usedperc,,,true,0,0,0
1402303647500,24048,Dennis-NB Memory usedperc,,,true,0,0,0
1402303648515,24024,Dennis-NB Memory usedperc,,,true,0,0,0
1402303649531,24024,Dennis-NB Memory usedperc,,,true,0,0,0
1402303650546,24024,Dennis-NB Memory usedperc,,,true,0,0,0
1402303651546,24024,Dennis-NB Memory usedperc,,,true,0,0,0
1402303652562,24024,Dennis-NB Memory usedperc,,,true,0,0,0
1402303653578,24024,Dennis-NB Memory usedperc,,,true,0,0,0
1402303654593,24023,Dennis-NB Memory usedperc,,,true,0,0,0
1402303655609,24126,Dennis-NB Memory usedperc,,,true,0,0,0
1402303656625,24096,Dennis-NB Memory usedperc,,,true,0,0,0
1402303657640,24096,Dennis-NB Memory usedperc,,,true,0,0,0
1402303658656,24096,Dennis-NB Memory usedperc,,,true,0,0,0
1402303659671,24090,Dennis-NB Memory usedperc,,,true,0,0,0
1402303660687,24090,Dennis-NB Memory usedperc,,,true,0,0,0
1402303661687,24024,Dennis-NB Memory usedperc,,,true,0,0,0
1402303662703,24024,Dennis-NB Memory usedperc,,,true,0,0,0
1402303663718,24024,Dennis-NB Memory usedperc,,,true,0,0,0
1402303664734,24024,Dennis-NB Memory usedperc,,,true,0,0,0
1402303665750,24023,Dennis-NB Memory usedperc,,,true,0,0,0
1402303666765,24023,Dennis-NB Memory usedperc,,,true,0,0,0
1402303667781,24023,Dennis-NB Memory usedperc,,,true,0,0,0
1402303668796,24023,Dennis-NB Memory usedperc,,,true,0,0,0
1402303669812,24023,Dennis-NB Memory usedperc,,,true,0,0,0
1402303670812,24023,Dennis-NB Memory usedperc,,,true,0,0,0
1402303671828,24023,Dennis-NB Memory usedperc,,,true,0,0,0
1402303672843,24023,Dennis-NB Memory usedperc,,,true,0,0,0
1402303673859,24020,Dennis-NB Memory usedperc,,,true,0,0,0
1402303674875,24019,Dennis-NB Memory usedperc,,,true,0,0,0
1402303675890,24019,Dennis-NB Memory usedperc,,,true,0,0,0
1402303676906,24018,Dennis-NB Memory usedperc,,,true,0,0,0
1402303677921,24018,Dennis-NB Memory usedperc,,,true,0,0,0
1402303678937,24018,Dennis-NB Memory usedperc,,,true,0,0,0
1402303679953,24069,Dennis-NB Memory usedperc,,,true,0,0,0
1402303680968,24069,Dennis-NB Memory usedperc,,,true,0,0,0
1402303681968,24069,Dennis-NB Memory usedperc,,,true,0,0,0
1402303682984,24069,Dennis-NB Memory usedperc,,,true,0,0,0
1402303684000,24069,Dennis-NB Memory usedperc,,,true,0,0,0
1402303685015,24069,Dennis-NB Memory usedperc,,,true,0,0,0
1402303686031,24028,Dennis-NB Memory usedperc,,,true,0,0,0
1402303687046,24027,Dennis-NB Memory usedperc,,,true,0,0,0
1402303688062,24027,Dennis-NB Memory usedperc,,,true,0,0,0
1402303689078,24026,Dennis-NB Memory usedperc,,,true,0,0,0
1402303690093,24026,Dennis-NB Memory usedperc,,,true,0,0,0
1402303691093,24026,Dennis-NB Memory usedperc,,,true,0,0,0
1402303692109,24026,Dennis-NB Memory usedperc,,,true,0,0,0
1402303693140,24026,Dennis-NB Memory usedperc,,,true,0,0,0
1402303694140,24026,Dennis-NB Memory usedperc,,,true,0,0,0
1402303695156,24026,Dennis-NB Memory usedperc,,,true,0,0,0
1402303696171,24026,Dennis-NB Memory usedperc,,,true,0,0,0
1402303697187,24026,Dennis-NB Memory usedperc,,,true,0,0,0
1402303698203,24026,Dennis-NB Memory usedperc,,,true,0,0,0
1402303699218,24026,Dennis-NB Memory usedperc,,,true,0,0,0
1402303700234,24026,Dennis-NB Memory usedperc,,,true,0,0,0
